ID,Beta,Rho,Aniso_X,Aniso_Y,Aniso_Z,Area_Inner,Area_Outer,Total_Area,Volume,SA_Vol_Ratio,Porosity,Pore_Size
1,17.018,0.3572,52.98,15.8,48.81,4.2774,1.7134,5.9909,0.2658,22.539,0.6629,0.0196
2,20.1976,0.3513,46.12,55.21,10.2,5.1889,1.6599,6.8488,0.2605,26.2948,0.67,0.0203
3,45.588,0.6495,1.32,34.47,88.06,12.1562,3.3615,15.5177,0.4985,31.1263,0.3684,0.0819
4,20.2045,0.6226,57.02,62.69,7.59,5.4038,2.9856,8.3894,0.4898,17.1285,0.3795,0.1904
5,44.0391,0.6319,66.54,65.85,89.14,11.679,3.2645,14.9435,0.5002,29.8754,0.3662,0.0896
6,19.5864,0.4076,38.76,11.75,80.47,5.195,1.9723,7.1673,0.3135,22.8592,0.6025,0.022
7,40.5371,0.3602,37.12,53.71,1.64,nan,nan,nan,nan,nan,nan,nan
8,39.9792,0.4516,16.23,51.09,15.99,11.2,2.2214,13.4214,0.3454,38.8591,0.5625,0.1151
9,24.9509,0.5165,30.57,63.45,64.63,6.9756,2.6417,9.6172,0.4031,23.8559,0.4891,0.1574
10,26.3687,0.4879,86.51,62.44,83.08,7.4198,2.4105,9.8303,0.3887,25.2918,0.5075,0.1607
11,39.6365,0.3778,77.11,48.44,15.38,10.4984,1.9123,12.4107,0.2858,43.4218,0.6379,0.0155
12,18.4812,0.3308,19.5,79.93,47.2,4.6518,1.7579,6.4097,0.2544,25.1987,0.6774,0.0173
13,42.2465,0.3684,31.38,76.85,42.75,nan,nan,nan,nan,nan,nan,nan
14,35.0473,0.316,57.51,3.31,51.97,8.5092,1.5846,10.0938,0.2292,44.0346,0.7095,0.0223
15,20.1919,0.4345,53.76,14.6,50.33,5.5788,2.099,7.6778,0.3358,22.8663,0.5742,0.024
16,31.4638,0.6311,84.72,25.19,35.88,8.4647,3.2227,11.6874,0.4916,23.776,0.377,0.1113
17,18.1952,0.5193,85.28,76.39,46.7,5.0941,2.636,7.7301,0.3953,19.5564,0.4992,0.2141
18,40.1752,0.4171,79.12,24.47,37.65,11.0353,2.1155,13.1508,0.3256,40.3915,0.5874,0.0967
19,45.0067,0.4674,17.69,33.97,10.5,12.6892,2.395,15.0842,0.3629,41.5689,0.5401,0.0955
20,16.5306,0.4411,42.3,32.61,78.81,4.6022,2.0536,6.6558,0.3307,20.1287,0.581,0.0208
21,25.8743,0.4487,29.78,48.29,82.22,7.2132,2.2045,9.4177,0.359,26.2352,0.545,0.0166
22,16.4014,0.5048,39.71,25.95,49.51,4.5745,2.4642,7.0387,0.3782,18.6128,0.5207,0.2268
23,21.7366,0.6644,59.67,39.84,59.41,5.625,3.1832,8.8082,0.5175,17.0217,0.3444,0.1791
24,38.1493,0.442,22.38,38.19,12.65,10.6935,2.1887,12.8822,0.3412,37.7579,0.5679,0.1069
25,33.0072,0.4526,56.8,10.36,12.94,9.2269,2.22,11.4469,0.3484,32.8571,0.5586,0.128
26,26.9689,0.672,83.71,58.5,82.02,6.7989,3.2821,10.081,0.5294,19.0415,0.329,0.1481
27,36.2544,0.5459,31.23,26.99,45.18,10.1245,2.7803,12.9048,0.4292,30.0692,0.4563,0.1188
28,29.8046,0.4807,9.55,39.0,57.3,8.342,2.4489,10.7909,0.3694,29.2139,0.532,0.1339
29,30.9695,0.6273,59.21,59.52,86.02,8.1437,3.1863,11.33,0.5003,22.6477,0.3663,0.1322
30,41.1964,0.4513,43.14,19.16,88.52,11.4127,2.3381,13.7508,0.3537,38.8801,0.5519,0.1004
31,34.5115,0.3004,73.7,23.85,10.23,8.2496,1.4935,9.7431,0.2234,43.6186,0.7169,0.0146
32,18.4271,0.5521,85.82,62.2,45.64,5.1861,2.8047,7.9908,0.4225,18.911,0.4646,0.2234
33,16.5983,0.6237,58.35,12.53,39.25,4.4417,3.0256,7.4673,0.4949,15.0891,0.3731,0.2173
34,20.9688,0.5763,10.48,6.13,35.13,5.7151,2.8969,8.6119,0.4567,18.8548,0.4214,0.2074
35,41.9967,0.3081,37.94,75.0,8.67,10.0984,1.6373,11.7357,0.227,51.7032,0.7124,0.0153
36,29.6678,0.4436,88.03,58.16,37.94,nan,nan,nan,nan,nan,nan,nan
37,15.8512,0.4086,47.45,50.15,62.3,4.2411,1.9969,6.238,0.3109,20.0662,0.606,0.0181
38,23.774,0.6862,22.37,73.89,14.74,5.9032,3.5222,9.4254,0.5465,17.2469,0.3076,0.1695
39,26.5163,0.3076,33.33,39.96,27.44,6.339,1.4284,7.7674,0.2276,34.1261,0.7115,0.0157
40,22.7992,0.3582,52.92,54.49,31.59,5.971,1.7995,7.7704,0.2822,27.5335,0.6425,0.0179
41,27.9221,0.6349,51.75,58.4,72.7,7.3557,3.0728,10.4284,0.4975,20.9606,0.3698,0.1391
42,15.7586,0.4708,29.87,30.72,73.06,4.4413,2.3142,6.7556,0.3708,18.2171,0.53,0.2234
43,37.0618,0.4829,4.47,16.16,77.03,10.2751,2.4466,12.7216,0.3817,33.3271,0.5161,0.1144
44,21.9024,0.5601,42.86,49.7,12.81,6.1075,2.7521,8.8596,0.434,20.4145,0.45,0.1836
45,39.7343,0.6314,26.69,83.21,23.95,10.5701,3.1327,13.7028,0.4966,27.5954,0.3709,0.1007
46,34.4856,0.5288,71.42,20.41,72.48,9.6514,2.6632,12.3146,0.4149,29.6831,0.4744,0.1144
47,38.1642,0.4052,31.62,52.03,22.83,10.4987,1.9725,12.4713,0.3092,40.3386,0.6081,0.0159
48,37.6819,0.6493,19.31,56.69,6.33,9.642,3.37,13.0121,0.5264,24.7176,0.3329,0.1156
49,40.994,0.4261,78.74,26.17,35.31,11.2659,2.2674,13.5333,0.3331,40.6313,0.5779,0.1011
50,36.7442,0.3761,71.47,22.31,74.36,9.7685,1.9826,11.7511,0.2939,39.9801,0.6274,0.0158
51,36.6122,0.5003,27.21,62.98,72.73,10.3431,2.6234,12.9665,0.393,32.9961,0.5022,0.1218
52,22.0559,0.6356,39.66,18.53,40.61,5.7857,3.2232,9.0089,0.5078,17.7406,0.3567,0.1875
53,29.8452,0.3044,18.48,35.69,67.91,7.3418,1.6229,8.9647,0.2353,38.0934,0.7018,0.0178
54,45.5926,0.6747,47.35,34.01,88.13,nan,nan,nan,nan,nan,nan,nan
55,17.0738,0.6476,6.52,38.11,71.03,4.6369,3.0044,7.6413,0.4723,16.18,0.4014,0.2105
56,20.4275,0.3911,32.35,73.66,52.95,5.4418,1.9927,7.4345,0.3035,24.4948,0.6154,0.0193
57,39.0933,0.4767,47.58,37.31,6.51,11.0399,2.2878,13.3277,0.3746,35.5801,0.5253,0.1058
58,21.8764,0.3126,85.4,48.27,24.57,5.3353,1.5402,6.8756,0.2342,29.3599,0.7031,0.0177
59,44.5543,0.4792,30.56,39.58,64.54,12.5758,2.4778,15.0536,0.3759,40.0496,0.5238,0.0975
60,15.9743,0.3413,7.19,29.06,30.68,4.0596,1.4756,5.5352,0.259,21.3674,0.6715,0.0213
61,20.9294,0.4383,47.42,45.05,9.43,5.7278,2.0752,7.8031,0.3274,23.8359,0.585,0.0223
62,29.6308,0.6342,77.23,53.69,70.33,7.8549,3.1894,11.0443,0.5009,22.049,0.3653,0.1235
63,26.0607,0.6389,50.5,32.86,81.95,6.8614,3.0589,9.9203,0.508,19.5291,0.3565,0.1478
64,43.8301,0.5208,88.5,22.8,33.76,12.2211,2.7489,14.97,0.4079,36.7022,0.4831,0.0888
65,22.8045,0.3178,7.38,25.68,64.61,5.8154,1.7048,7.5202,0.2645,28.4345,0.6648,0.0209
66,27.2925,0.5254,70.54,24.72,64.85,7.6718,2.5411,10.2129,0.4083,25.0111,0.4825,0.1405
67,20.4697,0.6132,71.77,71.59,48.16,5.4987,3.0163,8.5149,0.4717,18.0503,0.4024,0.1921
68,45.74,0.4576,36.67,25.71,34.04,12.811,2.4993,15.3104,0.3603,42.4905,0.5434,0.0941
69,27.1305,0.4325,59.76,32.67,35.49,7.4367,2.0248,9.4615,0.3311,28.572,0.5805,0.0178
70,22.8584,0.3934,36.59,70.26,52.43,6.2133,2.0388,8.2521,0.3132,26.3451,0.6031,0.0177
71,20.7333,0.4798,75.72,35.25,85.58,5.8188,2.3265,8.1453,0.3765,21.6322,0.5229,0.1827
72,16.5522,0.5846,68.14,13.09,49.4,4.5091,2.8785,7.3876,0.4594,16.0805,0.4177,0.2359
73,31.5227,0.6566,70.68,16.78,49.77,8.0868,3.3,11.3867,0.5172,22.0159,0.3447,0.114
74,43.1447,0.3273,7.11,11.58,19.47,10.8016,1.6733,12.4749,0.2471,50.4762,0.6868,0.017
75,36.57,0.3774,5.11,27.61,63.91,9.9197,2.0205,11.9402,0.3093,38.601,0.6079,0.018
76,29.7735,0.3672,36.21,55.14,38.44,7.8988,1.929,9.8279,0.2842,34.579,0.6398,0.0165
77,23.8145,0.3739,28.61,76.42,65.75,6.1959,1.8963,8.0921,0.2761,29.3076,0.65,0.0172
78,24.5403,0.3814,60.7,64.46,40.38,6.4961,1.876,8.3721,0.2911,28.7573,0.631,0.0163
79,23.4542,0.3778,30.69,44.11,11.12,6.1714,1.9721,8.1435,0.2786,29.2298,0.647,0.0184
